Ticker,Sector,Industry,Market_Cap,PE_Ratio,y25td_Return
CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,79540625408,29.856478,69.06679703554074
CVS,Health Care,Health Care Services,91399135232,189.4737,71.18201443037879
DHR,Health Care,Life Sciences Tools & Services,168809168896,48.50823,3.229172178864057
DRI,Consumer Discretionary,Restaurants,22902177792,20.6178,9.580802016335168
DDOG,Information Technology,Application Software,48466206720,460.7,-3.77358350253311
DVA,Health Care,Health Care Services,7551115264,10.898866,-29.50874686462556
DAY,Industrials,Human Resource & Employment Services,11095224320,0.0,-2.8855548062834835
DECK,Consumer Discretionary,Footwear,14858071040,14.882616,-51.03157966667445
DE,Industrials,Agricultural & Farm Machinery,140739149824,28.094698,25.85319101135398
DELL,Information Technology,"Technology Hardware, Storage & Peripherals",76845154304,15.328877,0.623301794863314
DAL,Industrials,Passenger Airlines,43186954240,8.634465,13.313403619320066
DVN,Energy,Oil & Gas Exploration & Production,25042860032,9.304246,21.405408476723014
DXCM,Health Care,Health Care Equipment,28890077184,40.927776,-6.152868574591959
FANG,Energy,Oil & Gas Exploration & Production,46063030272,11.174157,-1.8841416548452858
DLR,Real Estate,Data Center REITs,57057796096,42.16021,-4.977756600217133
DG,Consumer Staples,Consumer Staples Merchandise Retail,32502753280,25.502592,101.10822010615436
DLTR,Consumer Staples,Consumer Staples Merchandise Retail,24851441664,23.075756,59.330449055758926
D,Utilities,Multi-Utilities,52199718912,19.977125,17.729086782543444
DPZ,Consumer Discretionary,Restaurants,14050439168,24.217085,-3.3240266991997283
DASH,Consumer Discretionary,Specialized Consumer Services,89371852800,105.25888,21.511871096892822
DOV,Industrials,Industrial Machinery & Supplies & Components,28426375168,26.951885,12.899023256150292
DOW,Materials,Commodity Chemicals,19766439936,0.0,-24.427577259019767
DHI,Consumer Discretionary,Homebuilding,43254480896,13.508182,9.239027096747272
DTE,Utilities,Multi-Utilities,28386111488,20.491753,16.70410247858081
DUK,Utilities,Electric Utilities,93544873984,18.943308,15.600698854576791
DD,Materials,Specialty Chemicals,18690490368,25.786127,44.39954399145771
ETN,Industrials,Electrical Components & Equipment,132825268224,34.119,3.817578588316333
EBAY,Consumer Discretionary,Broadline Retail,43506397184,21.108646,55.21956171002006
ECL,Materials,Specialty Chemicals,80574996480,40.817528,24.28539204948526
EIX,Utilities,Electric Utilities,24102154240,8.208388,-15.914284608034823
EW,Health Care,Health Care Equipment,49081561088,36.666668,15.167382134834813
EA,Communication Services,Interactive Home Entertainment,51114188800,59.583088,40.74608838165231
ELV,Health Care,Managed Health Care,72714584064,13.158924,-10.021352983758689
EME,Industrials,Construction & Engineering,32064894976,28.824146,56.922033943632314
EMR,Industrials,Electrical Components & Equipment,83035144192,36.642677,22.92138726113784
ETR,Utilities,Electric Utilities,43132329984,23.788177,31.70180657867427
EOG,Energy,Oil & Gas Exploration & Production,59289423872,10.783515,-9.056034616334454
EPAM,Information Technology,IT Consulting & Other Services,12144154624,33.339447,-4.852509250424317
EQT,Energy,Oil & Gas Exploration & Production,33955694592,17.723127,16.290733539831372
EFX,Industrials,Research & Consulting Services,25628749824,39.39962,-16.50606065709557
EQIX,Real Estate,Data Center REITs,79486541824,74.6129,-12.297212794428141
EQR,Real Estate,Multi-Family Residential REITs,24459872256,20.44408,-7.5364995939886255
ERIE,Financials,Insurance Brokers,14248988672,21.975807,-32.08952584703852
ESS,Real Estate,Multi-Family Residential REITs,17386606592,19.157534,-6.542832281725822
EL,Consumer Staples,Personal Care Products,41960349696,0.0,60.16981205736131
EG,Financials,Reinsurance,13598371840,24.10268,-9.81672811638963
EVRG,Utilities,Electric Utilities,17747208192,21.120546,30.020755138584093
ES,Utilities,Electric Utilities,26499608576,19.51105,29.08289745012331
EXC,Utilities,Electric Utilities,45277732864,16.068102,23.36614792748219
EXE,Energy,Oil & Gas Exploration & Production,25917626368,34.990356,10.897370955920113
EXPE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",32999892992,25.697495,45.08881247939583
EXPD,Industrials,Air Freight & Logistics,21495101440,25.752846,45.70945641708683
EXR,Real Estate,Self-Storage REITs,30977665024,31.27293,-1.0246197190463344
XOM,Energy,Integrated Oil & Gas,583340130304,19.88808,32.18884923663306
FFIV,Information Technology,Communications Equipment,15709174784,22.368073,7.420056673597318
FDS,Financials,Financial Exchanges & Data,10053239808,17.09033,-42.963687683262606
FICO,Information Technology,Application Software,37085646848,58.14829,-22.592089563567082
FAST,Industrials,Trading Companies & Distributors,50457124864,40.321102,26.237369528914208
FRT,Real Estate,Retail REITs,8808387584,25.756346,-2.5256072790604778
FDX,Industrials,Air Freight & Logistics,73717202944,17.299006,16.60061593188143
FIS,Financials,Transaction & Payment Processing Services,30329300992,181.43752,-25.859072974450935
FITB,Financials,Regional Banks,33615306752,14.4022665,24.958098526313265
FSLR,Information Technology,Semiconductors,25222778880,18.052996,26.052448926385814
FE,Utilities,Electric Utilities,27450667008,20.66087,24.057863141695403
FISV,Financials,Transaction & Payment Processing Services,36034789376,10.24575,-67.81726270000863
F,Consumer Discretionary,Automobile Manufacturers,55504068608,11.905984,55.04858927164762
FTNT,Information Technology,Systems Software,62611599360,33.625515,-13.762533947786116
FTV,Industrials,Industrial Machinery & Supplies & Components,17982576640,20.925198,-4.789579013156753
FOXA,Communication Services,Broadcasting,31950557184,16.173035,48.29662305241099
FOX,Communication Services,Broadcasting,30562232320,14.5842705,41.792499171988254
BEN,Financials,Asset Management & Custody Banks,13295462400,28.021976,34.15761192148715
FCX,Materials,Copper,90276954112,41.361843,68.92194626125382
GRMN,Consumer Discretionary,Consumer Electronics,39422763008,25.252775,1.745871024049107
IT,Information Technology,IT Consulting & Other Services,17570703360,20.244328,-51.99668821440528
GE,Industrials,Aerospace & Defense,313775489024,36.906944,77.45129076624939
